numero_hoja,nombre_img,path_img,folio,q1,q2,rut,fecha,nombre
1,0001.jpg,imagenes/0001.jpg,18060101,SONNEDIX CHILE HOLDING SPA 76.336.436-4 EL BOSQUE CENTRAL 92 PISO 6 LAS CONDES SANTIAGO SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS,N°: Fecha: Estado: 18060101 30/06/2018 PENDIENTE,76.336.436-4,30/06/2018,SONNEDIX CHILE HOLDING SPA
2,0002.jpg,imagenes/0002.jpg,,,,,,
3,0003.jpg,imagenes/0003.jpg,,,,,,
4,0004.jpg,imagenes/0004.jpg,,,,,,
5,0005.jpg,imagenes/0005.jpg,,,,,,
6,0006.jpg,imagenes/0006.jpg,,,,,,
